name,description,price,photo_url,stock,available,user_id
Dracaena marginata,Fun and delicate with woven stems and spiky upright leaves.,33.31,https://photos.google.com/share/AF1QipNxdpPTsqTw-B3iJbdBdpUwQyD-jPCxfAT-yEgmb21dd5HTIulE1IYcTQ0U0p_KxA/photo/AF1QipOVQ74G7u7w25F7e-TL-RxgaHGP195TC5lbrg7h?key=Zy01ZFJOUGp5RnAzbldpbUZuak8tSGNldWJUSWJR,39,true,1
Crocodile fern,Tropical and unique with textured leaves.,18.48,https://photos.google.com/share/AF1QipNxdpPTsqTw-B3iJbdBdpUwQyD-jPCxfAT-yEgmb21dd5HTIulE1IYcTQ0U0p_KxA/photo/AF1QipN8RjiZ_9SsxjYckjP6sxe7DIiiFeEI0w3fhlXs?key=Zy01ZFJOUGp5RnAzbldpbUZuak8tSGNldWJUSWJR,18,true,8
Bird of paradise,Impressive and tropical with large glossy leaves.,42.49,https://photos.google.com/share/AF1QipNxdpPTsqTw-B3iJbdBdpUwQyD-jPCxfAT-yEgmb21dd5HTIulE1IYcTQ0U0p_KxA/photo/AF1QipNgVOXewDlQKIq01he96AZA9Q3PHwGGFdnPF34k?key=Zy01ZFJOUGp5RnAzbldpbUZuak8tSGNldWJUSWJR,21,true,10
Croton petra,Colorful and exotic.,19.2,https://photos.google.com/share/AF1QipNxdpPTsqTw-B3iJbdBdpUwQyD-jPCxfAT-yEgmb21dd5HTIulE1IYcTQ0U0p_KxA/photo/AF1QipMn4Jd0fH3atVhBq4AMAWrSEWz3c2pRi8uleY6z?key=Zy01ZFJOUGp5RnAzbldpbUZuak8tSGNldWJUSWJR,6,true,9
Burgundy rubber tree,Robust and dramatic with large glossy leaves.,22.34,https://photos.google.com/share/AF1QipNxdpPTsqTw-B3iJbdBdpUwQyD-jPCxfAT-yEgmb21dd5HTIulE1IYcTQ0U0p_KxA/photo/AF1QipNPmNGuKFFbSE873NQUKUJW1Lv7DTV7s8Tx5j_Q?key=Zy01ZFJOUGp5RnAzbldpbUZuak8tSGNldWJUSWJR,12,true,5
Spider plant,Fun and whimsical with long curved leaves.,15.99,https://photos.google.com/share/AF1QipNxdpPTsqTw-B3iJbdBdpUwQyD-jPCxfAT-yEgmb21dd5HTIulE1IYcTQ0U0p_KxA/photo/AF1QipMswOC268q6eUHr9jos3oM_J1JT-F1lGcwuUQRy?key=Zy01ZFJOUGp5RnAzbldpbUZuak8tSGNldWJUSWJR,8,true,4
Alocasia polly,Glossy dark leaves with silvery-green streaks.,29.45,https://photos.google.com/share/AF1QipNxdpPTsqTw-B3iJbdBdpUwQyD-jPCxfAT-yEgmb21dd5HTIulE1IYcTQ0U0p_KxA/photo/AF1QipNalha2tMmau_1Q4IF4NLp3z7-ghu15dIB4ISjG?key=Zy01ZFJOUGp5RnAzbldpbUZuak8tSGNldWJUSWJR,12,true,3
Philodendron heartleaf,A unique plant with heart-shaped leaves.,17.90,https://photos.google.com/share/AF1QipNxdpPTsqTw-B3iJbdBdpUwQyD-jPCxfAT-yEgmb21dd5HTIulE1IYcTQ0U0p_KxA/photo/AF1QipOMepvHf3faSBM5Pj14kYuXDXKW1gHwo9dTkDP6?key=Zy01ZFJOUGp5RnAzbldpbUZuak8tSGNldWJUSWJR,10,true,2
Parlor palm,Easy and graceful with lush dark green fronds.,14.19,https://photos.google.com/share/AF1QipNxdpPTsqTw-B3iJbdBdpUwQyD-jPCxfAT-yEgmb21dd5HTIulE1IYcTQ0U0p_KxA/photo/AF1QipPrp_hZraa9OhPcMcSSvuqL3G8OzVH18hcKcnqf?key=Zy01ZFJOUGp5RnAzbldpbUZuak8tSGNldWJUSWJR,15,true,5
Money tree,Graceful with large leaves and a braided trunk.,34.55,https://photos.google.com/share/AF1QipNxdpPTsqTw-B3iJbdBdpUwQyD-jPCxfAT-yEgmb21dd5HTIulE1IYcTQ0U0p_KxA/photo/AF1QipMi9Tzji1b2XHNo_QEobXY_Rp7OiviiMf8rBHjF?key=Zy01ZFJOUGp5RnAzbldpbUZuak8tSGNldWJUSWJR,12,true,9
